City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Maloyaroslavets,RU,2022-02-05 06:16:41,55.0146,36.4719,10.49,100,100,1.63,overcast clouds
215,Mount Isa,AU,2022-02-05 06:16:42,-20.7333,139.5,91.17,19,6,10.36,clear sky
216,Mount Gambier,AU,2022-02-05 06:16:43,-37.8333,140.7667,73.15,49,37,14.36,scattered clouds
217,Santa Isabel Do Rio Negro,BR,2022-02-05 06:16:43,-0.4139,-65.0192,72.86,99,100,2.06,light rain
218,Vila Franca Do Campo,PT,2022-02-05 06:16:45,37.7167,-25.4333,57.2,83,98,8.19,overcast clouds
219,Ayan,RU,2022-02-05 06:16:45,56.45,138.1667,-0.4,68,65,13.8,broken clouds
220,Tuatapere,NZ,2022-02-05 06:16:46,-46.1333,167.6833,59.83,60,20,8.77,few clouds
221,Kangaatsiaq,GL,2022-02-05 06:16:47,68.3065,-53.4641,3.42,81,100,13.22,overcast clouds
222,Puro,PH,2022-02-05 06:16:47,12.4841,123.3827,80.24,75,89,19.1,overcast clouds
223,Viraganur,IN,2022-02-05 06:16:48,11.4833,78.7333,83.95,55,75,6.62,broken clouds
224,Kahului,US,2022-02-05 06:16:49,20.8947,-156.47,75.85,87,75,10.36,broken clouds
225,Bambous Virieux,MU,2022-02-05 06:16:49,-20.3428,57.7575,82.65,83,75,19.57,light rain
226,Roverud,NO,2022-02-05 06:16:50,60.2521,12.055,29.68,87,68,4.72,broken clouds
227,Harper,LR,2022-02-05 06:16:51,4.375,-7.7169,77.2,87,88,2.82,light rain
228,Thanh Hoa,VN,2022-02-05 06:16:52,19.8,105.7667,63.39,65,100,5.14,overcast clouds
229,Leningradskiy,RU,2022-02-05 06:17:52,69.3833,178.4167,-19.3,94,49,7.23,scattered clouds
230,Lidkoping,SE,2022-02-05 06:17:53,58.5052,13.1577,36.12,3,10,15.84,clear sky
231,Koroni,GR,2022-02-05 06:17:54,36.8,21.95,48.07,73,33,8.37,scattered clouds
232,Caconda,AO,2022-02-05 06:17:55,-13.7333,15.0667,60.58,73,100,2.57,overcast clouds
233,Hasaki,JP,2022-02-05 06:17:56,35.7333,140.8333,50.29,26,28,10.85,scattered clouds
234,Inuvik,CA,2022-02-05 06:17:56,68.3499,-133.7218,-22.94,76,0,3.44,clear sky
235,Chanika,TZ,2022-02-05 06:17:57,-5.4167,38.0167,71.28,86,100,3.51,overcast clouds
236,Christchurch,NZ,2022-02-05 06:14:24,-43.5333,172.6333,56.03,90,75,2.3,moderate rain
237,Oriximina,BR,2022-02-05 06:17:58,-1.7656,-55.8661,72.95,93,88,2.62,overcast clouds
238,Hay River,CA,2022-02-05 06:17:58,60.8156,-115.7999,-9.42,70,100,5.75,light snow
239,Kribi,CM,2022-02-05 06:17:59,2.95,9.9167,76.39,89,89,4.79,light rain
240,Hereford,GB,2022-02-05 06:13:01,52.0568,-2.7148,42.03,86,46,1.99,scattered clouds
241,Port Lincoln,AU,2022-02-05 06:18:00,-34.7333,135.8667,75.11,48,6,10.6,clear sky
242,Chokurdakh,RU,2022-02-05 06:18:01,70.6333,147.9167,-31.7,100,32,1.68,scattered clouds
243,Jalu,LY,2022-02-05 06:18:01,29.0331,21.5482,48.56,77,0,4.65,clear sky
244,Hirara,JP,2022-02-05 06:18:02,24.8,125.2833,64.67,59,75,17.27,broken clouds
245,Palmer,US,2022-02-05 06:18:02,42.1584,-72.3287,27.03,82,100,1.01,overcast clouds
246,Omboue,GA,2022-02-05 06:18:03,-1.5746,9.2618,76.17,84,65,5.06,broken clouds
247,Honiara,SB,2022-02-05 06:15:15,-9.4333,159.95,85.1,72,85,7.56,light rain
248,Qaqortoq,GL,2022-02-05 06:18:04,60.7167,-46.0333,3.7,49,4,25.5,clear sky
249,Portland,US,2022-02-05 06:16:38,45.5234,-122.6762,49.6,91,75,5.99,broken clouds
250,Liverpool,GB,2022-02-05 06:13:59,53.4106,-2.9779,42.51,84,0,1.99,clear sky
251,At-Bashi,KG,2022-02-05 06:18:05,41.1702,75.8106,10.67,65,14,1.77,few clouds
252,Saskylakh,RU,2022-02-05 06:18:06,71.9167,114.0833,-9.51,98,100,5.17,overcast clouds
253,Clyde River,CA,2022-02-05 06:18:07,70.4692,-68.5914,-21.77,76,0,5.75,clear sky
254,Elizabeth City,US,2022-02-05 06:18:07,36.2946,-76.2511,42.01,95,100,3.0,mist
255,Bitung,ID,2022-02-05 06:18:08,1.4451,125.1824,86.85,73,96,12.5,overcast clouds
256,Nagorsk,RU,2022-02-05 06:18:09,59.3172,50.8078,14.34,91,100,8.86,overcast clouds
257,Port Hedland,AU,2022-02-05 06:18:09,-20.3167,118.5667,91.45,71,40,21.85,scattered clouds
258,Longyearbyen,SJ,2022-02-05 06:18:11,78.2186,15.6401,12.04,62,20,26.46,few clouds
